Channel,Input_Type,Voltage_Scaling,Temp_A,Temp_B,Temp_C
0,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
1,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
2,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
3,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
4,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
5,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
6,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
7,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
8,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
9,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
10,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
11,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
12,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
13,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
14,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
15,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
16,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
17,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
18,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
19,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
20,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
21,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
22,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
23,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
24,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
25,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
26,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
27,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
28,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
29,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
30,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
31,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
32,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
33,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
34,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
35,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
36,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
37,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
38,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
39,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
40,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
41,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
42,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
43,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
44,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
45,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
46,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
47,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
48,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
49,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
50,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
51,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
52,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
53,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
54,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
55,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
56,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
57,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
58,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
59,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
60,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
61,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
62,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
63,temperature,1,1.119349044E-03,2.359019498E-04,7.926382169E-08
